Step,Agent,Horizon,Chosen_Action,Sample_Q
11,3,5,2,[42.92834075 45.49990271 37.46301512 36.08484739 49.99999384]
11,3,6,2,[42.97593489 45.49989263 37.44264668 36.14774776 49.99999316]
12,1,1,2,[-55.05034143  -7.05034144  -7.05033843 -31.27600767 -33.08469242]
12,1,2,2,[-54.88476558  -6.88476558  -6.88476224 -31.31821185 -33.10941245]
12,1,3,2,[-54.71835772  -6.71835772  -6.71835401 -31.3379801  -33.10024105]
12,1,4,2,[-54.55111368  -6.55111368  -6.55110956 -31.34419749 -33.08549646]
12,1,5,2,[-54.38302926  -6.38302926  -6.38302468 -31.33388879 -33.06382083]
12,1,6,2,[-54.21410024  -6.21410025  -6.21409516 -31.32711828 -33.04537291]
12,2,1,3,[17.98360489 12.73670583 20.20427319 23.76793708 20.18823487]
12,2,2,3,[17.73891487 12.37783661 20.2063241  23.35348949 20.18850374]
12,2,3,3,[17.47597464 12.22765575 20.21754044 23.26881787 20.19774005]
12,2,4,3,[17.41515555 12.06563646 20.23911755 23.18246995 20.21711712]
12,2,5,3,[17.34513539 12.00237108 20.26064873 23.20561791 20.23620379]
12,2,6,3,[17.37610794 11.92686681 20.28223387 23.22777098 20.25507283]
12,3,1,2,[43.39149324 45.49998786 38.05153509 36.60244519 49.99999933]
12,3,2,2,[43.15721479 45.49998659 37.72625878 36.22936614 49.99999925]
12,3,3,2,[42.89690541 45.49998519 37.50306259 36.0650171  49.99999917]
12,3,4,2,[42.82989499 45.49998364 37.26173318 35.89001806 49.99999908]
12,3,5,2,[42.75543899 45.49998193 37.22321865 35.92625358 49.99999897]
12,3,6,2,[42.78382122 45.49998004 37.17692639 35.96418319 49.99999886]
13,1,1,2,[-57.12897871  -9.12897872  -9.12897795 -31.21218646 -33.16608683]
13,1,2,2,[-56.97384804  -8.97384804  -8.97384719 -31.24455828 -33.19113614]
13,1,3,2,[-56.81793781  -8.81793781  -8.81793687 -31.25414403 -33.18087112]
13,1,4,2,[-56.66124413  -8.66124414  -8.66124309 -31.24991104 -33.16318599]
13,1,5,2,[-56.50376306  -8.50376306  -8.5037619  -31.22899568 -33.13621029]
13,1,6,2,[-56.34549064  -8.34549064  -8.34548934 -31.21161073 -33.10948423]
13,2,1,3,[17.98536149 12.67769422 20.19929697 23.73862176 20.18371195]
13,2,2,3,[17.74313305 12.31770778 20.20306136 23.33201839 20.18574467]
13,2,3,3,[17.4820063  12.166748   20.21525998 23.25607762 20.19601922]
13,2,4,3,[17.42217948 12.00448503 20.2369058  23.17941858 20.21552717]
13,2,5,3,[17.35212904 11.94175934 20.2573805  23.21329838 20.23362647]
13,2,6,3,[17.38181419 11.86788758 20.27653803 23.2473292  20.25014466]
