Step,Agent,Horizon,Num_States,MostCommonAction,ActionDistribution,Sample_State,Sample_Q
28,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.62750204 39.48117044 29.99371789 35.59577402 29.97521549]
28,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.63978503 39.49153169 30.00381512 35.60453168 29.98687824]
28,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65236474 39.50165013 30.01376756 35.61319435 29.99897251]
29,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78623505 39.86492144 30.31469418 35.64170013 30.21173671]
29,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68646642 39.66752909 30.13640886 35.63698319 30.01196858]
29,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.69614762 39.57824806 30.0488092  35.64116625 30.02233031]
29,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70466484 39.59946594 30.06213936 35.64357443 30.03347057]
29,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71178623 39.62165511 30.07670011 35.64390799 30.04568166]
29,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.71725903 39.64476945 30.09285788 35.64183877 30.05932156]
30,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.85124847 39.89546144 30.36901362 35.70377648 30.25417307]
30,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75493988 39.703185   30.18947664 35.70219323 30.05548104]
30,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76784534 39.61977972 30.10013931 35.70923795 30.06460317]
30,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.7792335  39.64773887 30.11122835 35.71411417 30.07422903]
30,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78872923 39.67765463 30.12304019 35.71637442 30.08469125]
30,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.79590628 39.70961663 30.13595466 35.71551205 30.09641297]
31,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.85582164 39.89031013 30.3991221  35.70942646 30.2787747 ]
31,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76103212 39.69360774 30.22159269 35.70948191 30.08039055]
31,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77618972 39.60485654 30.13417109 35.71891171 30.09027135]
31,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.79075746 39.62640005 30.14696731 35.72711523 30.10027919]
31,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.80459431 39.64865871 30.1601225  35.73388072 30.11056831]
31,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.81755488 39.67152545 30.17381321 35.73898423 30.12133246]
32,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.82400971 39.8535073  30.36518157 35.68761887 30.26429785]
32,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.72974492 39.65515032 30.18762836 35.68931066 30.06400549]
32,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.74565107 39.5648312  30.10015072 35.70072411 30.07436796]
32,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.76120269 39.58493313 30.11283575 35.71128384 30.08470476]
32,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.77626656 39.60592401 30.12579887 35.72080118 30.09511614]
32,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.79070001 39.62775318 30.13918852 35.72907181 30.10573427]
33,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.75363397 39.80386847 30.30981732 35.62410647 30.21942347]
33,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.65731271 39.60055302 30.13243815 35.62450438 30.01888772]
33,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.67150889 39.50478638 30.04518772 35.63505519 30.03075009]
33,2,4,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6857922  39.51890427 30.05809611 35.64528809 30.04274142]
33,2,5,5,1,"{1: 4, 3: 1}","(3, 3)",[34.70014062 39.53332261 30.07120188 35.65513605 30.05490458]
33,2,6,5,1,"{1: 4, 3: 1}","(3, 3)",[34.714541   39.54793386 30.08455231 35.66453593 30.06729249]
34,2,1,5,1,"{1: 4, 3: 1}","(3, 3)",[34.78684191 39.88209574 30.28032851 35.66172591 30.1970151 ]
34,2,2,5,1,"{1: 4, 3: 1}","(3, 3)",[34.68587072 39.67956062 30.09834325 35.65796406 29.99266648]
34,2,3,5,1,"{1: 4, 3: 1}","(3, 3)",[34.6949016  39.58378194 30.00670738 35.66389419 30.00017928]
